"MonitoringStation","SampleDate","SampleTime","Latitude","Longitude","TN","TP","TSS"
"CCM0069",2020-01-07,"10:45:00",38.44167,-75.90556,1.648,0.117,14.5
"CCM0069",2013-11-12,"11:18:00",38.44167,-75.90556,1.585,0.1113,26
"EE3.0",1992-06-11,"10:15:00",38.28093,-76.01033,0.616666666666667,0.099,39
"EE3.0",1992-05-14,"10:10:00",38.28093,-76.01033,0.506666666666667,0.047,35
"EE3.0",1992-07-09,"10:10:00",38.28093,-76.01033,0.765,NA,23.3333333333333
"EE3.0",1991-12-12,"10:40:00",38.28093,-76.01033,0.795,0.059,26.5
"EE3.0",1992-01-09,"14:35:00",38.28093,-76.01033,0.52,0.056,54
"EE3.0",1991-11-07,"10:39:00",38.28093,-76.01033,0.37,0.021,17.5
"EE3.0",1991-09-19,"10:25:00",38.28093,-76.01033,1.095,0.076,46.5
"EE3.0",1991-08-08,"09:40:00",38.28093,-76.01033,1.015,0.06,35
"EE3.0",1993-08-12,"11:05:00",38.28093,-76.01033,1.28666666666667,0.0326666666666667,NA
"EE3.0",1993-06-17,"10:34:00",38.28093,-76.01033,0.948333333333333,0.0313333333333333,17.6666666666667
"EE3.0",1993-07-26,"10:46:00",38.28093,-76.01033,0.91,0.0905,27.5
"EE3.0",1993-04-15,"10:00:00",38.28093,-76.01033,1.51,0.0655,28.5
"EE3.0",1993-05-13,"11:13:00",38.28093,-76.01033,0.94,0.0425,34
"EE3.0",1993-02-11,"12:40:00",38.28093,-76.01033,0.65,0.0565,53.5
"EE3.0",1993-01-07,"15:10:00",38.28093,-76.01033,0.525,0.0215,10.5
"EE3.0",1992-12-15,"10:40:00",38.28093,-76.01033,0.446666666666667,NA,18.6666666666667
"EE3.0",1992-11-16,"10:45:00",38.28093,-76.01033,0.465,0.052,26.3333333333333
"EE3.0",1992-10-08,"09:30:00",38.28093,-76.01033,0.348333333333333,0.0246666666666667,24.3333333333333
"EE3.0",1992-08-13,"09:58:00",38.28093,-76.01033,0.64,0.107,34
"EE3.0",1992-03-31,"11:22:00",38.28093,-76.01033,0.49,NA,50
"EE3.0",1990-06-14,"09:42:00",38.28093,-76.01033,0.92,0.035,39
"EE3.0",1990-07-19,"09:38:00",38.28093,-76.01033,0.66,0.086,61.3333333333333
"EE3.0",1990-03-08,"10:03:00",38.28093,-76.01033,1.11,0.0535,32
"EE3.0",1990-04-05,"14:20:00",38.28093,-76.01033,0.605,0.057,54
"EE3.0",1989-08-17,"09:30:00",38.28093,-76.01033,0.916666666666667,0.065,32
"EE3.0",1989-07-13,"09:10:00",38.28093,-76.01033,0.865,0.045,34.5
"EE3.0",1989-06-15,"09:30:00",38.28093,-76.01033,0.815,0.08,26
"EE3.0",1989-05-04,"09:15:00",38.28093,-76.01033,1.125,0.05,42.5
"EE3.0",1989-04-06,"10:30:00",38.28093,-76.01033,0.71,0.02,36.5
"EE3.0",1989-03-06,"13:10:00",38.28093,-76.01033,0.453333333333333,0.0266666666666667,25.6666666666667
"EE3.0",1989-02-13,"15:25:00",38.28093,-76.01033,0.67,0.05,29
"EE3.0",1989-01-17,"15:15:00",38.28093,-76.01033,0.76,0.05,21
"EE3.0",1988-12-08,"09:30:00",38.28093,-76.01033,0.615,0.01,16.3333333333333
"EE3.0",1991-06-06,"09:25:00",38.28093,-76.01033,0.91,0.0416666666666667,34
"EE3.0",1991-04-11,"09:55:00",38.28093,-76.01033,1.065,0.105,122
"EE3.0",1991-02-14,"14:00:00",38.28093,-76.01033,0.666666666666667,0.05,42.3333333333333
"EE3.0",1991-01-10,"08:30:00",38.28093,-76.01033,0.35,0.0136666666666667,24.3333333333333
"EE3.0",1990-11-07,"10:10:00",38.28093,-76.01033,0.463333333333333,NA,43
"EE3.0",1990-12-13,"09:16:00",38.28093,-76.01033,0.57,NA,17.5
"EE3.0",1990-10-18,"08:55:00",38.28093,-76.01033,0.315,0.038,49
"EE3.0",1990-02-05,"07:00:00",38.28093,-76.01033,1.76666666666667,0.0853333333333333,102
"EE3.0",1990-08-16,"09:55:00",38.28093,-76.01033,1.02666666666667,NA,53.3333333333333
"EE3.0",1990-09-13,"09:30:00",38.28093,-76.01033,0.903333333333333,0.067,30
"EE3.0",1990-01-08,"15:10:00",38.28093,-76.01033,1.005,0.054,30
"EE3.0",1989-10-26,"09:45:00",38.28093,-76.01033,0.846,0.0533333333333333,15.3333333333333
"EE3.0",1989-12-14,"12:50:00",38.28093,-76.01033,0.605,0.045,38.5
"EE3.0",1989-09-14,"09:58:00",38.28093,-76.01033,1.05,0.05,40
"EE3.0",1988-04-06,"11:10:00",38.28093,-76.01033,1.12,0.054,25.6666666666667
"EE3.0",1988-02-22,"13:20:00",38.28093,-76.01033,0.946666666666667,0.0343333333333333,35
"EE3.0",1988-03-14,"12:45:00",38.28093,-76.01033,0.955,0.054,32
"EE3.0",1987-11-18,"09:20:00",38.28093,-76.01033,0.685,0.1,4
"EE3.0",1987-10-20,"11:30:00",38.28093,-76.01033,0.75,0.04,18.6666666666667
"EE3.0",1987-09-02,"08:50:00",38.28093,-76.01033,0.866666666666667,0.0533333333333333,27.3333333333333
"EE3.0",1987-08-04,"08:30:00",38.28093,-76.01033,1.085,0.06,29
"EE3.0",1987-07-21,"09:20:00",38.28093,-76.01033,1.855,0.06,21
"EE3.0",1987-06-16,"13:05:00",38.28093,-76.01033,0.915,0.07,53.5
"EE3.0",1987-05-07,"09:40:00",38.28093,-76.01033,0.748333333333333,0.0666666666666667,13.6666666666667
"EE3.0",1988-10-20,"11:20:00",38.28093,-76.01033,0.62,0.012,11
"EE3.0",1988-09-22,"11:40:00",38.28093,-76.01033,0.925,0.1205,22.5
"EE3.0",1988-08-25,"09:20:00",38.28093,-76.01033,1.23333333333333,0.0833333333333333,20.3333333333333
"EE3.0",1988-05-26,"12:15:00",38.28093,-76.01033,0.79,0.0325,18
"EE3.0",1987-04-07,"11:05:00",38.28093,-76.01033,0.8,0.025,26
"EE3.0",1988-06-22,"16:50:00",38.28093,-76.01033,0.865,0.0515,26
