"MonitoringStation","SampleDate","SampleTime","Parameter","MeasureValue","Unit","Latitude","Longitude"
"CCM0069",2006-07-11,"09:52:00","TN",1.833,"MG/L",38.44167,-75.90556
"CCM0069",2006-10-19,"10:55:00","TN",1.424,"MG/L",38.44167,-75.90556
"CCM0069",2006-10-19,"10:55:00","TN",1.481,"MG/L",38.44167,-75.90556
"CCM0069",2006-08-17,"09:33:00","TN",1.826,"MG/L",38.44167,-75.90556
"CCM0069",2006-08-17,"09:33:00","TN",1.943,"MG/L",38.44167,-75.90556
"CCM0069",2006-09-20,"10:58:00","TN",1.499,"MG/L",38.44167,-75.90556
"CCM0069",2006-09-20,"10:58:00","TN",1.496,"MG/L",38.44167,-75.90556
"CCM0069",2006-06-22,"10:16:00","TN",1.9,"MG/L",38.44167,-75.90556
"CCM0069",2005-04-19,"13:15:00","TN",1.773,"MG/L",38.44167,-75.90556
"CCM0069",2005-02-15,"10:45:00","TN",1.61,"MG/L",38.44167,-75.90556
"CCM0069",2005-03-16,"11:15:00","TN",1.822,"MG/L",38.44167,-75.90556
"CCM0069",2005-01-11,"11:55:00","TN",1.906,"MG/L",38.44167,-75.90556
"CCM0069",2013-06-05,"11:20:00","TN",2.31,"MG/L",38.44167,-75.90556
"CCM0069",2013-04-15,"14:00:00","TN",1.884,"MG/L",38.44167,-75.90556
"CCM0069",2013-05-14,"09:50:00","TN",2.375,"MG/L",38.44167,-75.90556
"CCM0069",2013-03-18,"10:43:00","TN",1.899,"MG/L",38.44167,-75.90556
"CCM0069",2012-07-25,"10:34:00","TN",3.21,"MG/L",38.44167,-75.90556
"CCM0069",2008-12-16,"10:30:00","TN",1.456,"MG/L",38.44167,-75.90556
"CCM0069",2012-08-20,"09:35:00","TN",2.26,"MG/L",38.44167,-75.90556
"CCM0069",2006-04-20,"12:05:00","TN",1.476,"MG/L",38.44167,-75.90556
"CCM0069",2006-04-20,"12:05:00","TN",1.524,"MG/L",38.44167,-75.90556
"CCM0069",2006-03-09,"11:18:00","TN",2.628,"MG/L",38.44167,-75.90556
"CCM0069",2005-12-13,"15:41:00","TN",1.91,"MG/L",38.44167,-75.90556
"CCM0069",2006-02-06,"13:48:00","TN",1.58,"MG/L",38.44167,-75.90556
"CCM0069",2006-02-06,"13:48:00","TN",1.624,"MG/L",38.44167,-75.90556
"CCM0069",2006-01-09,"09:47:00","TN",1.859,"MG/L",38.44167,-75.90556
"CCM0069",2006-01-09,"09:47:00","TN",1.674,"MG/L",38.44167,-75.90556
"CCM0069",2005-11-17,"10:00:00","TN",1.475,"MG/L",38.44167,-75.90556
"CCM0069",2005-10-20,"11:45:00","TN",1.55,"MG/L",38.44167,-75.90556
"CCM0069",2005-10-20,"11:45:00","TN",1.642,"MG/L",38.44167,-75.90556
"CCM0069",2005-05-12,"11:27:00","TN",1.323,"MG/L",38.44167,-75.90556
"CCM0069",2005-09-15,"11:10:00","TN",2.034,"MG/L",38.44167,-75.90556
"CCM0069",2005-09-15,"11:10:00","TN",1.902,"MG/L",38.44167,-75.90556
"CCM0069",2005-07-13,"10:15:00","TN",1.594,"MG/L",38.44167,-75.90556
"CCM0069",2005-07-13,"10:15:00","TN",1.701,"MG/L",38.44167,-75.90556
"CCM0069",2005-08-11,"10:50:00","TN",1.492,"MG/L",38.44167,-75.90556
"CCM0069",2005-08-11,"10:50:00","TN",1.592,"MG/L",38.44167,-75.90556
"CCM0069",2005-06-15,"10:35:00","TN",1.721,"MG/L",38.44167,-75.90556
"CCM0069",2004-06-09,"11:43:00","TN",1.609,"MG/L",38.44167,-75.90556
"CCM0069",2004-11-08,"11:00:00","TN",1.377,"MG/L",38.44167,-75.90556
"CCM0069",2004-07-21,"12:20:00","TN",1.722,"MG/L",38.44167,-75.90556
"CCM0069",2004-10-07,"10:15:00","TN",1.297,"MG/L",38.44167,-75.90556
"CCM0069",2004-10-07,"10:15:00","TN",1.583,"MG/L",38.44167,-75.90556
"CCM0069",2004-05-12,"10:58:00","TN",1.943,"MG/L",38.44167,-75.90556
"CCM0069",2004-09-22,"11:15:00","TN",1.525,"MG/L",38.44167,-75.90556
"CCM0069",2004-08-12,"10:25:00","TN",1.836,"MG/L",38.44167,-75.90556
"CCM0069",2004-12-09,"11:03:00","TN",1.308,"MG/L",38.44167,-75.90556
"CCM0069",2004-04-14,"11:37:00","TN",2.129,"MG/L",38.44167,-75.90556
"CCM0069",2004-03-17,"12:00:00","TN",1.907,"MG/L",38.44167,-75.90556
"CCM0069",2004-02-17,"11:40:00","TN",2.25,"MG/L",38.44167,-75.90556
"CCM0069",2004-01-13,"11:27:00","TN",2.531,"MG/L",38.44167,-75.90556
"CCM0069",2004-01-13,"11:27:00","TN",2.616,"MG/L",38.44167,-75.90556
"CCM0069",2003-11-19,"11:00:00","TN",2.115,"MG/L",38.44167,-75.90556
"CCM0069",2003-12-17,"12:57:00","TN",1.563,"MG/L",38.44167,-75.90556
"CCM0069",2003-12-17,"12:57:00","TP",0.0581,"MG/L",38.44167,-75.90556
"CCM0069",2003-11-19,"11:00:00","TP",0.104,"MG/L",38.44167,-75.90556
"CCM0069",2004-01-13,"11:27:00","TP",0.0805,"MG/L",38.44167,-75.90556
"CCM0069",2004-01-13,"11:27:00","TP",0.0828,"MG/L",38.44167,-75.90556
"CCM0069",2004-02-17,"11:40:00","TP",0.0451,"MG/L",38.44167,-75.90556
